@relation Contraceptive_Method_Choice-class0
@attribute wife_age integer [16,49]
@attribute wife_education{1,2,3,4}
@attribute husband_education{1,2,3,4}
@attribute children_number integer [0,16]
@attribute wife_religion{0,1}
@attribute wife_working{0,1}
@attribute husband_occupation{1,2,3,4}
@attribute standard_living_index{1,2,3,4}
@attribute media_exposure{0,1}
@attribute class{1,groupClass}
@data
24,2,3,3,1,1,2,3,0,1
45,1,3,10,1,1,3,4,0,1
43,2,3,7,1,1,3,4,0,1
42,3,2,9,1,1,3,3,0,1
36,3,3,8,1,1,3,2,0,1
19,4,4,0,1,1,3,3,0,1
38,2,3,6,1,1,3,2,0,1
21,3,3,1,1,0,3,2,0,1
27,2,3,3,1,1,3,4,0,1
45,1,1,8,1,1,2,2,1,1
38,1,3,2,1,0,3,3,1,1
42,1,4,4,1,1,1,3,0,1
44,4,4,1,1,0,1,4,0,1
42,2,4,1,1,0,3,3,0,1
38,3,4,2,1,1,2,3,0,1
26,2,4,0,1,1,4,1,0,1
48,1,1,7,1,1,2,4,0,1
39,2,2,6,1,1,2,4,0,1
37,2,2,8,1,1,2,3,0,1
39,2,1,5,1,1,2,1,1,1
26,3,4,1,1,0,4,1,0,1
24,3,4,0,1,0,3,1,0,1
46,4,4,1,0,1,1,4,0,1
39,4,4,1,1,1,1,4,0,1
48,4,4,5,1,1,1,4,0,1
40,2,4,8,1,1,3,3,0,1
38,4,4,1,1,0,1,4,0,1
29,4,4,0,1,0,1,4,0,1
24,4,4,0,1,0,2,2,0,1
43,1,2,8,1,1,2,4,0,1
31,3,4,2,1,1,1,4,0,1
31,4,4,2,1,1,3,2,0,1
26,2,4,0,1,0,1,2,0,1
33,2,2,2,1,1,3,1,0,1
24,2,3,1,1,1,3,3,0,1
42,1,3,9,1,1,3,2,1,1
43,1,2,8,1,0,3,1,0,1
25,3,3,4,1,1,3,2,0,1
42,2,2,3,1,1,3,4,0,1
28,2,2,1,1,1,2,4,0,1
28,1,1,3,1,1,3,1,0,1
47,2,3,0,1,0,1,3,0,1
48,2,4,2,1,1,1,3,0,1
40,4,4,2,0,1,1,4,0,1
28,2,2,1,1,1,3,2,0,1
25,1,4,1,1,1,2,1,0,1
32,4,4,2,1,1,2,3,0,1
45,4,4,0,1,1,2,4,0,1
26,4,4,1,1,1,1,4,0,1
26,4,4,0,1,0,1,4,0,1
