@relation King_Rook_vs_King-Chess_Endgame_Database-class0
@attribute white_king_file{a,b,c,d,e,f,g,h}
@attribute white_king_rank{1,2,3,4,5,6,7,8}
@attribute white_rook_file{a,b,c,d,e,f,g,h}
@attribute white_rook_rank{1,2,3,4,5,6,7,8}
@attribute black_king_file{a,b,c,d,e,f,g,h}
@attribute black_king_rank{1,2,3,4,5,6,7,8}
@attribute class{draw,groupClass}
@data
a,1,b,3,c,2,draw
a,1,c,1,c,2,draw
a,1,c,1,d,1,draw
a,1,c,1,d,2,draw
a,1,c,2,c,1,draw
a,1,c,2,c,3,draw
a,1,c,2,d,1,draw
a,1,c,2,d,2,draw
a,1,c,2,d,3,draw
a,1,c,3,c,2,draw
a,1,c,3,d,2,draw
a,1,c,3,d,3,draw
a,1,c,3,d,4,draw
a,1,c,4,d,3,draw
a,1,d,1,c,1,draw
a,1,d,1,c,2,draw
a,1,d,1,d,2,draw
a,1,d,1,e,1,draw
a,1,d,1,e,2,draw
a,1,d,2,c,1,draw
a,1,d,2,c,2,draw
a,1,d,2,c,3,draw
a,1,d,2,d,1,draw
a,1,d,2,d,3,draw
a,1,d,2,e,1,draw
a,1,d,2,e,2,draw
a,1,d,2,e,3,draw
a,1,d,3,c,2,draw
a,1,d,3,c,3,draw
a,1,d,3,d,2,draw
a,1,d,3,d,4,draw
a,1,d,3,e,2,draw
a,1,d,3,e,3,draw
a,1,d,3,e,4,draw
a,1,d,4,c,3,draw
a,1,d,4,d,3,draw
a,1,d,4,e,3,draw
a,1,d,4,e,4,draw
a,1,d,4,e,5,draw
a,1,d,5,e,4,draw
a,1,e,1,d,1,draw
a,1,e,1,d,2,draw
a,1,e,1,e,2,draw
a,1,e,1,f,1,draw
a,1,e,1,f,2,draw
a,1,e,2,d,1,draw
a,1,e,2,d,2,draw
a,1,e,2,d,3,draw
a,1,e,2,e,1,draw
a,1,e,2,e,3,draw
a,1,e,2,f,1,draw
a,1,e,2,f,2,draw
a,1,e,2,f,3,draw
a,1,e,3,d,2,draw
a,1,e,3,d,3,draw
a,1,e,3,d,4,draw
a,1,e,3,e,2,draw
a,1,e,3,e,4,draw
a,1,e,3,f,2,draw
a,1,e,3,f,3,draw
a,1,e,3,f,4,draw
a,1,e,4,d,3,draw
a,1,e,4,d,4,draw
a,1,e,4,e,3,draw
a,1,e,4,e,5,draw
a,1,e,4,f,3,draw
a,1,e,4,f,4,draw
a,1,e,4,f,5,draw
a,1,e,5,d,4,draw
a,1,e,5,e,4,draw
a,1,e,5,f,4,draw
a,1,e,5,f,5,draw
a,1,e,5,f,6,draw
a,1,e,6,f,5,draw
a,1,f,1,e,1,draw
a,1,f,1,e,2,draw
a,1,f,1,f,2,draw
a,1,f,1,g,1,draw
a,1,f,1,g,2,draw
a,1,f,2,e,1,draw
a,1,f,2,e,2,draw
a,1,f,2,e,3,draw
a,1,f,2,f,1,draw
a,1,f,2,f,3,draw
a,1,f,2,g,1,draw
a,1,f,2,g,2,draw
a,1,f,2,g,3,draw
a,1,f,3,e,2,draw
a,1,f,3,e,3,draw
a,1,f,3,e,4,draw
a,1,f,3,f,2,draw
a,1,f,3,f,4,draw
a,1,f,3,g,2,draw
a,1,f,3,g,3,draw
a,1,f,3,g,4,draw
a,1,f,4,e,3,draw
a,1,f,4,e,4,draw
a,1,f,4,e,5,draw
a,1,f,4,f,3,draw
a,1,f,4,f,5,draw
a,1,f,4,g,3,draw
a,1,f,4,g,4,draw
a,1,f,4,g,5,draw
a,1,f,5,e,4,draw
