@relation Teaching_Assistant_Evaluation-class0
@attribute native_english_speaker{1,2}
@attribute course_instructor{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25}
@attribute course{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}
@attribute summer_regsemester{1,2}
@attribute class_size integer [3,66]
@attribute class{1,groupClass}
@data
1,23,3,1,19,groupClass
2,15,3,1,17,groupClass
1,23,3,2,49,groupClass
1,5,2,2,33,groupClass
2,7,11,2,55,groupClass
2,23,3,1,20,groupClass
2,9,5,2,19,groupClass
2,10,3,2,27,groupClass
1,22,3,1,58,groupClass
2,15,3,1,20,groupClass
2,10,22,2,9,groupClass
2,13,1,2,30,groupClass
2,18,21,2,29,groupClass
2,6,17,2,39,groupClass
2,6,17,2,42,groupClass
2,6,17,2,43,groupClass
2,7,11,2,10,groupClass
2,22,3,2,46,groupClass
2,13,3,1,10,groupClass
2,7,25,2,42,groupClass
2,25,7,2,27,groupClass
2,25,7,2,23,groupClass
2,2,9,2,31,groupClass
2,1,15,1,22,groupClass
2,15,13,2,37,groupClass
2,7,11,2,13,groupClass
2,8,3,2,24,groupClass
2,14,15,2,38,groupClass
2,21,2,2,42,1
2,22,3,2,28,1
2,11,1,2,51,1
2,18,5,2,19,1
2,13,1,2,31,1
1,13,3,1,13,1
2,5,2,2,37,1
2,16,8,2,36,1
2,4,16,2,21,1
2,5,2,2,48,1
2,14,15,2,38,1
1,23,3,1,19,groupClass
2,15,3,1,17,groupClass
1,23,3,2,49,groupClass
1,5,2,2,33,groupClass
2,7,11,2,55,groupClass
2,23,3,1,20,groupClass
2,9,5,2,19,groupClass
2,10,3,2,27,groupClass
1,22,3,2,58,groupClass
2,15,3,1,20,groupClass
2,10,22,2,9,groupClass
2,13,1,2,30,groupClass
2,18,21,2,29,groupClass
2,6,17,2,39,groupClass
2,6,17,2,42,groupClass
2,6,17,2,43,groupClass
2,7,11,2,10,groupClass
2,22,3,2,46,groupClass
2,13,3,1,10,groupClass
2,7,25,2,42,groupClass
2,25,7,2,27,groupClass
2,25,7,2,23,groupClass
2,2,9,2,31,groupClass
2,1,15,1,22,groupClass
2,15,13,2,37,groupClass
2,7,11,2,13,groupClass
2,8,3,2,24,groupClass
2,14,15,2,38,groupClass
2,21,2,2,42,1
2,22,3,2,28,1
2,11,1,2,51,1
2,18,5,2,19,1
2,13,1,2,31,1
1,13,3,1,13,1
2,5,2,2,37,1
2,16,8,2,36,1
2,4,16,2,21,1
2,5,2,2,48,1
2,14,15,2,38,1
1,23,3,1,25,groupClass
1,13,3,1,17,groupClass
2,16,19,2,11,groupClass
2,9,2,2,39,groupClass
2,13,3,1,11,groupClass
2,18,21,2,19,groupClass
1,22,3,2,45,groupClass
2,7,11,1,20,groupClass
2,23,3,1,20,groupClass
1,23,3,1,20,groupClass
1,23,3,2,38,groupClass
2,14,22,2,17,groupClass
1,17,17,2,19,groupClass
2,9,5,2,24,groupClass
2,18,25,2,25,groupClass
1,17,17,2,31,groupClass
2,1,15,2,31,groupClass
2,1,8,2,18,groupClass
1,11,16,2,22,groupClass
1,22,13,2,27,groupClass
2,9,2,2,14,groupClass
2,13,1,2,20,groupClass
1,6,17,2,35,groupClass
2,23,3,1,20,groupClass
1,23,3,1,20,groupClass
2,6,17,2,37,groupClass
1,22,3,2,15,groupClass
2,20,2,2,25,groupClass
2,23,3,2,10,groupClass
2,20,2,2,14,1
1,23,3,2,38,1
2,13,1,2,29,1
2,10,3,2,19,1
2,7,11,2,30,1
1,14,15,2,32,1
2,8,3,2,27,1
2,12,7,2,34,1
2,8,7,2,23,1
2,15,1,2,66,1
2,23,3,2,12,1
2,2,9,2,29,1
2,15,1,2,19,1
2,20,2,2,3,1
2,13,14,2,17,groupClass
2,9,6,2,7,groupClass
1,10,3,2,21,groupClass
2,14,15,2,36,groupClass
1,13,1,2,54,groupClass
1,8,3,2,29,groupClass
2,20,2,2,45,groupClass
2,22,1,2,11,groupClass
2,18,12,2,16,groupClass
2,20,15,2,18,groupClass
1,17,18,2,44,groupClass
2,14,23,2,17,groupClass
2,24,26,2,21,groupClass
2,9,24,2,20,groupClass
2,12,8,2,24,groupClass
2,9,6,2,5,groupClass
2,22,1,2,42,groupClass
2,7,11,2,30,1
2,10,3,2,19,1
2,23,3,2,11,1
2,17,18,2,29,1
2,16,20,2,15,1
2,3,2,2,37,1
2,19,4,2,10,1
2,23,3,2,24,1
2,3,2,2,26,1
2,10,3,2,12,1
1,18,7,2,48,1
2,22,1,2,51,1
2,2,10,2,27,1
