@RELATION TAO_grid
@ATTRIBUTE x     REAL
@ATTRIBUTE y     REAL
@ATTRIBUTE class {black,white}
@DATA
-0.0,0.25,white
-0.0,0.5,white
-0.0,0.75,white
-0.0,1.0,white
-0.0,1.25,white
-0.0,1.5,white
-0.0,1.75,white
-0.0,2.0,black
-0.0,2.25,black
-0.0,2.5,black
-0.0,2.75,black
-0.0,3.0,black
-0.0,3.25,black
-0.0,3.5,black
-0.0,3.75,black
-0.0,4.0,black
-0.0,4.25,white
-0.0,4.5,white
-0.0,4.75,white
-0.0,5.0,white
-0.0,5.25,white
-0.0,5.5,white
-0.0,5.75,white
-0.0,6.0,white
-0.25,0.0,black
-0.25,0.25,white
-0.25,0.5,white
-0.25,0.75,white
-0.25,1.0,white
-0.25,1.25,white
-0.25,1.5,white
-0.25,1.75,white
-0.25,2.0,white
-0.25,2.25,black
-0.25,2.5,black
-0.25,2.75,black
-0.25,3.0,black
-0.25,3.25,black
-0.25,3.5,black
-0.25,3.75,black
-0.25,4.0,white
-0.25,4.25,white
-0.25,4.5,white
-0.25,4.75,white
-0.25,5.0,white
-0.25,5.25,white
-0.25,5.5,white
-0.25,5.75,white
-0.5,0.0,black
-0.5,0.25,white
-0.5,0.5,white
-0.5,0.75,white
-0.5,1.0,white
-0.5,1.25,white
-0.5,1.5,white
-0.5,1.75,white
-0.5,2.0,white
-0.5,2.25,black
-0.5,2.5,black
-0.5,2.75,black
-0.5,3.0,black
-0.5,3.25,black
-0.5,3.5,black
-0.5,3.75,black
-0.5,4.0,white
-0.5,4.25,white
-0.5,4.5,white
-0.5,4.75,white
-0.5,5.0,white
-0.5,5.25,white
-0.5,5.5,white
-0.5,5.75,white
-0.75,0.0,black
-0.75,0.25,white
-0.75,0.5,white
-0.75,0.75,white
-0.75,1.0,white
-0.75,1.25,white
-0.75,1.5,white
-0.75,1.75,white
-0.75,2.0,white
-0.75,2.25,white
-0.75,2.5,black
-0.75,2.75,black
-0.75,3.0,black
-0.75,3.25,black
-0.75,3.5,black
-0.75,3.75,white
-0.75,4.0,white
-0.75,4.25,white
-0.75,4.5,white
-0.75,4.75,white
-0.75,5.0,white
-0.75,5.25,white
-0.75,5.5,white
-0.75,5.75,white
-1.0,0.0,black
-1.0,0.25,white
-1.0,0.5,white
-1.0,0.75,white
-1.0,1.0,white
-1.0,1.25,white
-1.0,1.5,white
-1.0,1.75,white
-1.0,2.0,white
-1.0,2.25,white
-1.0,2.5,white
-1.0,2.75,white
-1.0,3.0,black
-1.0,3.25,white
-1.0,3.5,white
-1.0,3.75,white
-1.0,4.0,white
-1.0,4.25,white
-1.0,4.5,white
-1.0,4.75,white
-1.0,5.0,white
-1.0,5.25,white
-1.0,5.5,white
-1.0,5.75,white
-1.25,0.0,black
-1.25,0.25,black
-1.25,0.5,white
-1.25,0.75,white
-1.25,1.0,white
-1.25,1.25,white
-1.25,1.5,white
-1.25,1.75,white
-1.25,2.0,white
-1.25,2.25,white
-1.25,2.5,white
-1.25,2.75,white
-1.25,3.0,white
-1.25,3.25,white
-1.25,3.5,white
-1.25,3.75,white
-1.25,4.0,white
-1.25,4.25,white
-1.25,4.5,white
-1.25,4.75,white
-1.25,5.0,white
-1.25,5.25,white
-1.25,5.5,white
-1.25,5.75,black
-1.5,0.0,black
-1.5,0.25,black
-1.5,0.5,white
-1.5,0.75,white
-1.5,1.0,white
-1.5,1.25,white
-1.5,1.5,white
-1.5,1.75,white
-1.5,2.0,white
-1.5,2.25,white
-1.5,2.5,white
-1.5,2.75,white
-1.5,3.0,white
-1.5,3.25,white
-1.5,3.5,white
-1.5,3.75,white
-1.5,4.0,white
-1.5,4.25,white
-1.5,4.5,white
-1.5,4.75,white
-1.5,5.0,white
-1.5,5.25,white
-1.5,5.5,white
-1.5,5.75,black
-1.75,0.0,black
-1.75,0.25,black
-1.75,0.5,black
-1.75,0.75,white
-1.75,1.0,white
-1.75,1.25,white
-1.75,1.5,white
-1.75,1.75,white
-1.75,2.0,white
-1.75,2.25,white
-1.75,2.5,white
-1.75,2.75,white
-1.75,3.0,white
-1.75,3.25,white
-1.75,3.5,white
-1.75,3.75,white
-1.75,4.0,white
-1.75,4.25,white
-1.75,4.5,white
-1.75,4.75,white
-1.75,5.0,white
-1.75,5.25,white
-1.75,5.5,black
-2.0,0.0,black
-2.0,0.25,black
-2.0,0.5,black
-2.0,0.75,black
-2.0,1.0,white
-2.0,1.25,white
-2.0,1.5,white
-2.0,1.75,white
-2.0,2.0,white
-2.0,2.25,white
-2.0,2.5,white
-2.0,2.75,white
-2.0,3.0,white
-2.0,3.25,white
-2.0,3.5,white
-2.0,3.75,white
-2.0,4.0,white
-2.0,4.25,white
-2.0,4.5,white
-2.0,4.75,white
-2.0,5.0,white
-2.0,5.25,black
-2.0,5.5,black
-2.25,0.0,black
-2.25,0.25,black
-2.25,0.5,black
-2.25,0.75,black
-2.25,1.0,black
-2.25,1.25,white
-2.25,1.5,white
-2.25,1.75,white
-2.25,2.0,white
-2.25,2.25,white
-2.25,2.5,white
-2.25,2.75,white
-2.25,3.0,white
-2.25,3.25,white
-2.25,3.5,white
-2.25,3.75,white
-2.25,4.0,white
-2.25,4.25,white
-2.25,4.5,white
-2.25,4.75,white
-2.25,5.0,black
-2.25,5.25,black
-2.25,5.5,black
-2.5,0.0,black
-2.5,0.25,black
-2.5,0.5,black
-2.5,0.75,black
-2.5,1.0,black
-2.5,1.25,black
-2.5,1.5,white
-2.5,1.75,white
-2.5,2.0,white
-2.5,2.25,white
-2.5,2.5,white
-2.5,2.75,white
-2.5,3.0,white
-2.5,3.25,white
-2.5,3.5,white
-2.5,3.75,white
-2.5,4.0,white
-2.5,4.25,white
-2.5,4.5,white
-2.5,4.75,black
-2.5,5.0,black
-2.5,5.25,black
-2.75,0.0,black
-2.75,0.25,black
-2.75,0.5,black
-2.75,0.75,black
-2.75,1.0,black
-2.75,1.25,black
-2.75,1.5,black
-2.75,1.75,black
-2.75,2.0,white
-2.75,2.25,white
-2.75,2.5,white
-2.75,2.75,white
-2.75,3.0,white
-2.75,3.25,white
-2.75,3.5,white
-2.75,3.75,white
-2.75,4.0,white
-2.75,4.25,black
-2.75,4.5,black
-2.75,4.75,black
-2.75,5.0,black
-2.75,5.25,black
-3.0,0.0,black
-3.0,0.25,black
-3.0,0.5,black
-3.0,0.75,black
-3.0,1.0,black
-3.0,1.25,black
-3.0,1.5,black
-3.0,1.75,black
-3.0,2.0,black
-3.0,2.25,black
-3.0,2.5,black
-3.0,2.75,black
-3.0,3.0,white
-3.0,3.25,black
-3.0,3.5,black
-3.0,3.75,black
-3.0,4.0,black
-3.0,4.25,black
-3.0,4.5,black
-3.0,4.75,black
-3.0,5.0,black
-3.25,0.0,black
-3.25,0.25,black
-3.25,0.5,black
-3.25,0.75,black
-3.25,1.0,black
-3.25,1.25,black
-3.25,1.5,black
-3.25,1.75,black
-3.25,2.0,black
-3.25,2.25,black
-3.25,2.5,black
-3.25,2.75,black
-3.25,3.0,black
-3.25,3.25,black
-3.25,3.5,black
-3.25,3.75,black
-3.25,4.0,black
-3.25,4.25,black
-3.25,4.5,black
-3.25,4.75,black
-3.25,5.0,black
-3.5,0.0,black
-3.5,0.25,black
-3.5,0.5,black
-3.5,0.75,black
-3.5,1.0,black
-3.5,1.25,black
-3.5,1.5,black
-3.5,1.75,black
-3.5,2.0,black
-3.5,2.25,black
-3.5,2.5,black
-3.5,2.75,black
-3.5,3.0,black
-3.5,3.25,black
-3.5,3.5,black
-3.5,3.75,black
-3.5,4.0,black
-3.5,4.25,black
-3.5,4.5,black
-3.5,4.75,black
-3.75,0.0,black
-3.75,0.25,black
-3.75,0.5,black
-3.75,0.75,black
-3.75,1.0,black
-3.75,1.25,black
-3.75,1.5,black
-3.75,1.75,black
-3.75,2.0,black
-3.75,2.25,black
-3.75,2.5,black
-3.75,2.75,black
-3.75,3.0,black
-3.75,3.25,black
-3.75,3.5,black
-3.75,3.75,black
-3.75,4.0,black
-3.75,4.25,black
-3.75,4.5,black
-4.0,0.0,black
-4.0,0.25,black
-4.0,0.5,black
-4.0,0.75,black
-4.0,1.0,black
-4.0,1.25,black
-4.0,1.5,black
-4.0,1.75,black
-4.0,2.0,black
-4.0,2.25,black
-4.0,2.5,black
-4.0,2.75,black
-4.0,3.0,black
-4.0,3.25,black
-4.0,3.5,black
-4.0,3.75,black
-4.0,4.0,black
-4.0,4.25,black
-4.25,0.0,black
-4.25,0.25,black
-4.25,0.5,black
-4.25,0.75,black
-4.25,1.0,black
-4.25,1.25,black
-4.25,1.5,black
-4.25,1.75,black
-4.25,2.0,black
-4.25,2.25,black
-4.25,2.5,black
-4.25,2.75,black
-4.25,3.0,black
-4.25,3.25,black
-4.25,3.5,black
-4.25,3.75,black
-4.25,4.0,black
-4.5,0.0,black
-4.5,0.25,black
-4.5,0.5,black
-4.5,0.75,black
-4.5,1.0,black
-4.5,1.25,black
-4.5,1.5,black
-4.5,1.75,black
-4.5,2.0,black
-4.5,2.25,black
-4.5,2.5,black
-4.5,2.75,black
-4.5,3.0,black
-4.5,3.25,black
-4.5,3.5,black
-4.5,3.75,black
-4.75,0.0,black
-4.75,0.25,black
-4.75,0.5,black
-4.75,0.75,black
-4.75,1.0,black
-4.75,1.25,black
-4.75,1.5,black
-4.75,1.75,black
-4.75,2.0,black
-4.75,2.25,black
-4.75,2.5,black
-4.75,2.75,black
-4.75,3.0,black
-4.75,3.25,black
-4.75,3.5,black
-5.0,0.0,black
-5.0,0.25,black
-5.0,0.5,black
-5.0,0.75,black
-5.0,1.0,black
-5.0,1.25,black
-5.0,1.5,black
-5.0,1.75,black
-5.0,2.0,black
-5.0,2.25,black
-5.0,2.5,black
-5.0,2.75,black
-5.0,3.0,black
-5.0,3.25,black
-5.25,0.0,black
-5.25,0.25,black
-5.25,0.5,black
-5.25,0.75,black
-5.25,1.0,black
-5.25,1.25,black
-5.25,1.5,black
-5.25,1.75,black
-5.25,2.0,black
-5.25,2.25,black
-5.25,2.5,black
-5.25,2.75,black
-5.5,0.0,black
-5.5,0.25,black
-5.5,0.5,black
-5.5,0.75,black
-5.5,1.0,black
-5.5,1.25,black
-5.5,1.5,black
-5.5,1.75,black
-5.5,2.0,black
-5.5,2.25,black
-5.75,0.0,black
-5.75,0.25,black
-5.75,0.5,black
-5.75,0.75,black
-5.75,1.0,black
-5.75,1.25,black
-5.75,1.5,black
-6.0,0.0,black
0.0,0.25,white
0.0,0.5,white
